qstamp,measure,beat,measure_fraction,label,part,part_num,instrument
0.5,1,1.5,0.125,a,Vln.,0,Vln
17.25,5,2.25,0.3125,a,Vln.,0,Vln
24.0,7,1.0,0.0,a,Vln.,0,Vln
34.5,9,3.5,0.625,a,Vln.,0,Vln
36.0,10,1.0,0.0,b,S. I solo,1,S
44.5,12,1.5,0.125,a,Vln.,0,Vln
53.0,14,2.0,0.25,b,S. I solo,1,S
55.0,14,4.0,0.75,b,S. II solo,2,S
58.5,15,3.5,0.625,a,Vln.,0,Vln
64.0,17,1.0,0.0,b,S. I solo,1,S
68.25,18,1.25,0.0625,a,Vln.,0,Vln
70.0,18,3.0,0.5,b,S. I solo,1,S
78.5,20,3.5,0.625,a,Vln.,0,Vln
87.0,22,4.0,0.75,b,S. II solo,2,S
89.0,23,2.0,0.25,b,S. I solo,1,S
92.5,24,1.5,0.125,a,Vln.,0,Vln
98.0,25,3.0,0.5,b,S. II solo,2,S
102.5,26,3.5,0.625,a,Vln.,0,Vln
106.0,27,3.0,0.5,b,S. I solo,1,S
111.25,28,4.25,0.8125,a,Vln.,0,Vln
122.5,31,3.5,0.625,a,Vln.,0,Vln
124.5,32,1.5,0.125,b,S. II solo,2,S
128.5,33,1.5,0.125,a,Vln.,0,Vln
145.25,37,2.25,0.3125,a,Vln.,0,Vln
152.0,39,1.0,0.0,a,Vln.,0,Vln
162.5,41,3.5,0.625,a,Vln.,0,Vln
164.0,42,1.0,0.0,b,S. I solo,1,S
172.5,44,1.5,0.125,a,Vln.,0,Vln
181.0,46,2.0,0.25,b,S. II solo,2,S
183.0,46,4.0,0.75,b,S. I solo,1,S
186.5,47,3.5,0.625,a,Vln.,0,Vln
192.5,49,1.5,0.125,b,S. I solo,1,S
194.5,49,3.5,0.625,a,Vln.,0,Vln
198.0,50,3.0,0.5,c,Vln.,0,Vln
202.0,51,3.0,0.5,c,S. I solo,1,S
208.0,53,1.0,0.0,a,Vln.,0,Vln
216.0,55,1.0,0.0,a,Vln.,0,Vln
228.5,58,1.5,0.125,b,S. II solo,2,S
234.5,59,3.5,0.625,b,S. I solo,1,S
236.5,60,1.5,0.125,a,Vln.,0,Vln
238.5,60,3.5,0.625,d,S. II solo,2,S
244.5,62,1.5,0.125,d,S. I solo,1,S
246.5,62,3.5,0.625,d,S. II solo,2,S
252.5,64,1.5,0.125,d,S. I solo,1,S
254.25,64,3.25,0.5625,a,Vln.,0,Vln
263.5,66,4.5,0.875,c,S. I solo,1,S
266.5,67,3.5,0.625,c,Vln.,0,Vln
267.5,67,4.5,0.875,c,S. I solo,1,S
272.0,69,1.0,0.0,b,S. I solo,1,S
286.25,72,3.25,0.5625,a,Vln.,0,Vln
290.5,73,3.5,0.625,b,S. I solo,1,S
294.5,74,3.5,0.625,a,Vln.,0,Vln
298.5,75,3.5,0.625,b,S. I solo,1,S
302.5,76,3.5,0.625,a,Vln.,0,Vln
319.25,80,4.25,0.8125,a,Vln.,0,Vln
324.0,82,1.0,0.0,a,Vln.,0,Vln
