qstamp,measure,beat,measure_fraction,label,part,part_num,instrument
0.0,1,1.0,0.0,i,Vln 1,13,Vln
12.0,4,1.0,0.0,i,Vln 1,13,Vln
29.0,8,2.0,0.25,i,Hn 1,8,Hn
30.0,8,3.0,0.5,i,Vln 1,13,Vln
31.0,8,4.0,0.75,i,Hn 1,8,Hn
38.0,10,3.0,0.5,i,Vln 1,13,Vln
39.0,10,4.0,0.75,i,Hn 1,8,Hn
42.5,11,3.5,0.625,i,Hn 1,8,Hn
44.0,12,1.0,0.0,i,Vln 1,13,Vln
48.0,13,1.0,0.0,a,Vln 1,13,Vln
72.0,19,1.0,0.0,a,Vln 1,13,Vln
96.0,25,1.0,0.0,a,Vln 1,13,Vln
104.0,27,1.0,0.0,a,Vln 1,13,Vln
112.0,29,1.0,0.0,a,Vln 1,13,Vln
128.0,33,1.0,0.0,a,Vln 1,13,Vln
136.0,35,1.0,0.0,a,Fl 1,0,Fl
144.0,37,1.0,0.0,a,Vln 1,13,Vln
152.0,39,1.0,0.0,a,Fl 1,0,Fl
160.0,41,1.0,0.0,a,Vln 1,13,Vln
176.0,45,1.0,0.0,a,Fl 1,0,Fl
207.0,52,2.5,0.75,b,Ob 1,2,Ob
212.0,54,1.0,0.0,b,Fl 1,0,Fl
216.0,55,1.0,0.0,b,Ob 1,2,Ob
220.0,56,1.0,0.0,b,Fl 1,0,Fl
224.0,57,1.0,0.0,b,Fl 1,0,Fl
239.0,60,2.5,0.75,b,Vln 1,13,Vln
244.0,62,1.0,0.0,b,Fl 1,0,Fl
248.0,63,1.0,0.0,b,Vln 1,13,Vln
252.0,64,1.0,0.0,b,Fl 1,0,Fl
256.0,65,1.0,0.0,b,Vln 1,13,Vln
304.0,77,1.0,0.0,c,Vc,16,Vc
348.0,88,1.0,0.0,a,Vln 1,13,Vln
444.0,112,1.0,0.0,a,Vln 1,13,Vln
452.0,114,1.0,0.0,d,Fl 1,0,Fl
460.0,116,1.0,0.0,a,Vln 1,13,Vln
468.0,118,1.0,0.0,d,Fl 1,0,Fl
476.0,120,1.0,0.0,a,Vln 1,13,Vln
484.0,122,1.0,0.0,d,Fl 1,0,Fl
500.0,126,1.0,0.0,d,Vln 1,13,Vln
512.0,129,1.0,0.0,d,Ob 1,2,Ob
516.0,130,1.0,0.0,d,Vln 1,13,Vln
580.0,146,1.0,0.0,d,Bsn 1,6,Bsn
585.0,147,1.5,0.25,d,Ob 1,2,Ob
587.0,147,2.5,0.75,d,Fl 1,0,Fl
601.0,151,1.5,0.25,d,Bsn 1,6,Bsn
603.0,151,2.5,0.75,d,Ob 1,2,Ob
605.0,152,1.5,0.25,d,Fl 1,0,Fl
617.0,155,1.5,0.25,d,Bsn 1,6,Bsn
619.0,155,2.5,0.75,d,Ob 1,2,Ob
621.0,156,1.5,0.25,d,Fl 1,0,Fl
623.0,156,2.5,0.75,d,Vln 1,13,Vln
625.0,157,1.5,0.25,d,Ob 1,2,Ob
637.0,160,1.5,0.25,d,Fl 1,0,Fl
652.0,164,1.0,0.0,d,Fl 1,0,Fl
652.0,164,1.0,0.0,d,Bsn 1,6,Bsn
668.0,168,1.0,0.0,d,Fl 1,0,Fl
715.0,179,2.5,0.75,a,Vln 1,13,Vln
740.0,186,1.0,0.0,a,Vln 1,13,Vln
756.0,190,1.0,0.0,a,Ob 1,2,Ob
778.0,195,2.0,0.5,a,Fl 1,0,Fl
812.0,204,1.0,0.0,tr.,Fl 1,0,Fl
820.0,206,1.0,0.0,tr.,Vln 1,13,Vln
827.0,207,2.5,0.75,b,Fl 1,0,Fl
832.0,209,1.0,0.0,b,Ob 1,2,Ob
836.0,210,1.0,0.0,b,Fl 1,0,Fl
840.0,211,1.0,0.0,b,Ob 1,2,Ob
859.0,215,2.5,0.75,b,Fl 1,0,Fl
864.0,217,1.0,0.0,b,Ob 1,2,Ob
868.0,218,1.0,0.0,b,Fl 1,0,Fl
872.0,219,1.0,0.0,b,Ob 1,2,Ob
877.0,220,1.5,0.25,b,Vln 1,13,Vln
892.0,224,1.0,0.0,b,Vln 1,13,Vln
908.0,228,1.0,0.0,b,Fl 2,1,Fl
924.0,232,1.0,0.0,c,Vc,16,Vc
932.0,234,1.0,0.0,c,Ob 1,2,Ob
944.0,237,1.0,0.0,c,Cl.1,4,Cl
968.0,243,1.0,0.0,a,Vln 1,13,Vln
1047.0,262,2.5,0.75,a,Vln 1,13,Vln
1063.0,266,2.5,0.75,a,Vln 1,13,Vln
1079.0,270,2.5,0.75,a,Vln 1,13,Vln
1115.0,279,2.5,0.75,a,Vln 1,13,Vln
1131.0,283,2.5,0.75,a,Vln 1,13,Vln
1147.0,287,2.5,0.75,a,Vln 1,13,Vln
