qstamp,tstamp,measure,beat,Flute 1,Flute 2,Oboe 1,Oboe 2,A Clarinet 1,A Clarinet 2,Bassoon 1,Bassoon 2,A Horn 1,A Horn 2,D Trumpet 1,D Trumpet 2,Timpani,Violin 1,Violin 2,Viola,Violoncello,Contrabass
0.0,0.0,1,1.0,A6,C#6,A5,C#5,A5,C#5,C#4,A3,A4,A3,A5,A4,A2,A5,A5,A4,A2,A1
2.0,1.7391,1,3.0,r,r,E5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
4.0,3.4783,2,1.0,r,r,C#5,r,r,r,r,r,r,r,r,r,r,r,C#4,A3,r,r
6.0,5.2174,2,3.0,r,r,F#5,r,r,r,r,r,r,r,r,r,r,r,C#4,A3,r,r
8.0,6.9565,3,1.0,E6,B5,E5,r,E5,E5,B3,G#3,E4,E3,E5,E5,E3,E5,E5,E4,G#2,G#1
10.0,8.6957,3,3.0,r,r,E5,r,B4,B4,r,r,r,r,r,r,r,r,r,r,r,r
12.0,10.4348,4,1.0,r,r,E5,r,E4,E4,r,r,r,r,r,r,r,r,B3,G#3,r,r
13.0,11.3043,4,2.0,r,r,F#5,r,E4,E4,r,r,r,r,r,r,r,r,B3,G#3,r,r
13.5,11.7391,4,2.5,r,r,E5,r,E4,E4,r,r,r,r,r,r,r,r,B3,G#3,r,r
14.0,12.1739,4,3.0,r,r,E5,r,D5,D5,r,r,r,r,r,r,r,r,B3,G#3,r,r
15.0,13.0435,4,4.0,r,r,F#5,r,D5,D5,r,r,r,r,r,r,r,r,B3,G#3,r,r
15.5,13.4783,4,4.5,r,r,E5,r,D5,D5,r,r,r,r,r,r,r,r,B3,G#3,r,r
16.0,13.913,5,1.0,E6,C#6,E5,r,C#5,C#5,G3,G2,A4,A4,A5,A4,A2,A5,A5,A4,G2,G1
18.0,15.6522,5,3.0,r,r,E5,r,C#5,r,r,r,E4,E4,r,r,r,r,r,r,r,r
20.0,17.3913,6,1.0,A5,r,E5,r,C#5,r,r,r,A3,A3,r,r,r,r,E4,G3,r,r
20.5,17.8261,6,1.5,A5,r,D5,r,B4,r,r,r,A3,A3,r,r,r,r,E4,G3,r,r
21.0,18.2609,6,2.0,A5,r,C#5,r,A4,r,r,r,A3,A3,r,r,r,r,E4,G3,r,r
21.5,18.6957,6,2.5,A5,r,D5,r,B4,r,r,r,A3,A3,r,r,r,r,E4,G3,r,r
22.0,19.1304,6,3.0,E5,r,E5,r,C#5,r,r,r,A4,A4,r,r,r,r,E4,G3,r,r
22.5,19.5652,6,3.5,E5,r,F#5,r,D5,r,r,r,A4,A4,r,r,r,r,E4,G3,r,r
23.0,20.0,6,4.0,A5,r,G5,r,E5,A4,r,r,A4,A4,r,r,r,r,E4,G3,r,r
23.5,20.4348,6,4.5,A5,r,E5,r,C#5,A4,r,r,A4,A4,r,r,r,r,E4,G3,r,r
24.0,20.8696,7,1.0,A5,D6,D5,D5,D5,A4,D4,D3,A4,A4,A5,A4,A2,A5,A5,D4,F#2,F#1
25.0,21.7391,7,2.0,A5,r,D5,D5,D4,D4,D4,D3,A4,A4,r,r,r,r,r,r,r,r
26.0,22.6087,7,3.0,A5,r,D5,A4,D4,D4,A3,A2,A4,A4,r,r,r,A4,D4,A3,F#3,F#2
27.0,23.4783,7,4.0,A5,r,D5,A4,D4,A3,A3,A2,A4,A4,r,r,r,r,r,r,r,r
28.0,24.3478,8,1.0,B5,r,D5,B4,D4,B3,D3,F2,G4,G4,r,r,r,B4,D4,G3,F3,F2
30.0,26.087,8,3.0,C6,r,E5,C5,E4,C4,G3,E2,G4,G4,r,r,r,C5,C4,G3,E3,E2
31.0,26.9565,8,4.0,C6,r,G5,C5,G4,C4,G3,E2,G4,G4,r,r,r,r,r,r,r,r
32.0,27.8261,9,1.0,C6,r,A5,C5,A4,C4,F3,F2,A4,A4,r,r,r,C5,C4,A3,F3,F2
