qstamp,measure,beat,label,partName,partNum
0.0,1,1,a,Vln,25
12.0,5,1,a,Vln,24
24.0,9,1,a,Ob,3
30.0,11,1,a,Fl,1
49.0,17,1.67,b,Tpt,15
61.0,21,1.67,b,Eng Hn,11
76.5,26,2,c,Fl,1
91.0,31,1.67,b,Tpt,15
102.0,35,1,a,Vln,24
112.0,38,1.67,b',Eng Hn,11
121.5,41,2,d,Fl,1
148.0,50,1.67,b,Fl,1
171.0,58,1,b',Ob,3
171.0,58,1,b',Vln,24
174.0,59,1,b,Vln,24
189.0,64,1,b,Fl,1
212.0,71,1.67,b,Eng Hn,11
218.0,73,1.67,e,Vln,25
224.0,75,1.67,e,Vln,24
236.0,79,1.67,e,Fl,1
248.5,83,2,cad.,Tpt,15
254.5,85,2,e,Vln,24
272.5,91,2,f,Tpt,15
278.5,93,2,e,Vln,24
295.0,99,1,cad.,Cb,29
298.0,100,1,g,Vln,24
308.0,103,1.67,b,Eng Hn,11
319.0,107,1,a,Vln,24
341.5,114,2,h,Cl,5
359.0,120,1.67,b,Eng Hn,11
366.5,122,2.67,h,Cl,5
385.75,129,1.5,i,Fl,1
439.0,147,1,x,Ob,3
439.0,147,1,cad.,Vc,28
452.5,151,2,x,Fl,1
463.0,155,1,x,Cl,5
469.0,157,1,x,Vln,24
499.0,167,1,a,Vla,26
521.0,174,1.67,b,Eng Hn,11
530.5,177,2,c(dev),Fl,1
548.0,183,1.67,c,Eng Hn,12
557.5,186,2,f,Tpt,15
571.0,191,1,d,Ob,3
578.5,193,2,a,Fl,1
596.0,199,1.67,p,Eng Hn,11
599.0,200,1.67,p,T,17
602.0,201,1.67,p,Eng Hn,11
613.0,205,1,d,Fl,1
620.0,207,1.67,c,BTrb,19
629.5,210,2,h,BTrb,19
635.5,212,2,i,T,17
638.5,213,2,a,Tpt,15
643.0,215,1,a,Eng Hn,11
656.5,219,2,c,Cl,5
661.0,221,1,c,Ob,3
662.5,221,2,(cont.),Ob,3
665.5,222,2,k,Vln,24
670.5,224,1.33,q,Fl,1
673.0,225,1,c,Vln,24
674.5,225,2,(retro?),Vln,24
686.0,229,1.67,c,Tpt,15
695.0,232,1.67,k,Vln,24
716.5,239,2,x,Eng Hn,11
722.5,241,2,c,Ob,3
725.5,242,2,c,Cl,5
726.0,242,2.33,(retro),Cl,5
728.5,243,2,f,Eng Hn,11
769.0,257,1,r,Bsn,8
770.0,257,1.67,(dev.?),Bsn,8
800.5,267,2,a,Vln,24
802.0,268,1,(extended),Vln,24
835.0,279,1,c,Cl,5
836.0,279,1.67,(extended),Cl,5
850.0,284,1,c,Tpt,15
851.0,284,1.67,(aug.),Tpt,15
859.0,287,1,a,Vln,24
859.5,287,1.33,(extended),Vln,24
872.5,291,2,c,Fl,1
884.5,295,2,n,Eng Hn,11
896.0,299,1.67,p,Tpt,15
920.5,307,2,x,Ob,3
926.5,309,2,x,Eng Hn,11
932.5,311,2,x,Cl,5
956.5,319,2,x,Cl,5
986.5,329,2,a,Vln,24
1001.0,334,1.67,c,Eng Hn,11
1010.5,337,2,e,Fl,1
1025.0,342,1.67,c,Tpt,15
1037.0,346,1.67,c,Fl,1
1064.5,355,2,X,Fl,1
1072.0,358,1,X,Tpt,15
1101.0,367,1.67,c,Eng Hn,11
1113.0,371,1.67,g,Vln,24
1125.0,375,1.67,g,Fl,1
1142.0,381,1,g,Fl,1
1142.0,381,1,g,Vln,24
1160.0,387,1,X,Vln,24
1197.0,399,1.67,c,Eng Hn,11
1206.5,402,2,X,Cl,5
1250.75,417,1.5,g,Fl,1
1258.0,419,2.33,q,Cl,5
1268.0,423,1,X,Vln,24
1298.0,433,1,X,Vln,24
1304.5,435,1.33,X,Ob,3
1307.0,436,1,X,Cl,5
1310.0,437,1,X,Vln,24
1316.0,439,1,g,Fl,1
1328.0,443,1,g,Ob,3
1340.0,447,1,X,Vln,24
1364.0,455,1,X,Vln,24
1368.5,456,2,X,Eng Hn,11
1380.0,460,1.67,X,Eng Hn,13
1383.0,461,1.67,X,Vc,28
1401.5,467,2,c,Tpt,15
1418.0,473,1,c,Fl,1
1424.0,475,1,X,Vla,26
1425.5,475,2,X,Tpt,15
1448.75,483,1.5,X,Vln,24
1461.5,487,2,d,Fl,1
1473.5,491,2,X,Vln,24
1497.5,499,2,X,Tpt,15
1520.0,507,1,a,Bsn,8
1526.0,509,1,a,Cl,5
1532.0,511,1,a,Ob,3
1538.0,513,1,a,Fl,1
1545.0,515,1.67,X,Eng Hn,11
1556.75,519,1.5,m,Fl,1
1569.0,523,1.67,c,T,17
1581.0,527,1.67,c,Eng Hn,11
1592.0,531,1,X,Vln,24
1605.0,535,1.67,X,Tpt,15
1616.0,539,1,X,Vln,24
1642.0,545,2,X,Fl,1
1648.0,547,1,a+j,Vln,24
1655.0,549,1.67,c,Eng Hn,11
1658.0,550,1.67,c,Tpt,15
