qstamp_start,qstamp_end,Traverso 1,Traverso 2,Oboe d’amore 1,Oboe d’amore 2,Bassoon,Violin 1,Violin 2,Viola,Soprano 1,Soprano 2,Alto,Tenor,Bass,Continuo
0.0,2.5,U(Oboe d’amore 1)&U(Main),U(Oboe d’amore 2)&U(Soprano 2),U(Traverso 1)&U(Main),U(Traverso 2)&U(Soprano 2),U(Bass)&U(Continuo),P3(Violin 2)&P3(Alto),P3(Violin 1)&P8(Alto),,Main Part,U(Traverso 2)&U(Oboe d’amore 2),P3(Violin 1)&P8(Violin 2),,U(Bassoon)&U(Continuo),U(Bassoon)&U(Bass)
2.5,4.0,U(Oboe d’amore 1)&U(Soprano 1),U(Oboe d’amore 2)&P3(Tenor),U(Traverso 1)&U(Soprano 1),U(Traverso 2)&P3(Tenor),U(Bass)&U(Continuo),P3(Violin 2),P3(Violin 1)&P3(Tenor),,U(Traverso 1)&U(Oboe d’amore 1),Main Part,,P3(Traverso 2)&P3(Oboe d’amore 2)&P3(Violin 2),U(Bassoon)&U(Continuo),U(Bassoon)&U(Bass)
4.0,6.5,U(Oboe d’amore 1),U(Oboe d’amore 2)&U(Soprano 2),U(Traverso 1),U(Traverso 2)&U(Soprano 2),U(Bass)&U(Continuo),,,,Main Part,U(Traverso 2)&U(Oboe d’amore 2),,,U(Bassoon)&U(Continuo),U(Bassoon)&U(Bass)
6.5,8.0,U(Oboe d’amore 1)&P5(Violin 1)&P5(Alto)&P3(Tenor),U(Oboe d’amore 2)&P8(Violin 2)&P3(Viola),U(Traverso 1)&P5(Violin 1)&P5(Alto)&P3(Tenor),U(Traverso 2)&P8(Violin 2)&P3(Viola),P5(Viola)&U(Bass)&U(Continuo),P5(Traverso 1)&P5(Oboe d’amore 1)&P8(Alto)&P3(Tenor),P8(Traverso 2)&P8(Oboe d’amore 2)&P3(Viola),P3(Traverso 2)&P3(Oboe d’amore 2)&P5(Bassoon)&P3(Violin 2)&P5(Bass)&P5(Continuo),Main Part,,P5(Traverso 1)&P5(Oboe d’amore 1)&P8(Violin 1)&P3(Tenor),P3(Traverso 1)&P3(Oboe d’amore 1)&P3(Violin 1)&P3(Alto),U(Bassoon)&P5(Viola)&U(Continuo),U(Bassoon)&P5(Viola)&U(Bass)
8.0,16.0,U(Oboe d’amore 1),U(Oboe d’amore 2),U(Traverso 1),U(Traverso 2),U(Continuo),,,,Main Part,,,,,U(Bassoon)
16.0,26.0,Main Part,U(Oboe d’amore 2),U(Main),U(Traverso 2),U(Continuo),,,,,,,,,U(Bassoon)
26.0,37.0,U(Oboe d’amore 1),,U(Traverso 1),Main Part,U(Continuo),,,,,,,,,U(Bassoon)
37.0,39.0,Main Part,U(Oboe d’amore 2),U(Main),U(Traverso 2),U(Continuo),,,,,,,,,U(Bassoon)
39.0,41.0,U(Oboe d’amore 1),Main Part,U(Traverso 1),U(Main),U(Continuo),,,,,,,,,U(Bassoon)
41.0,43.0,Main Part,,U(Main),,U(Continuo),,,,,,,,,U(Bassoon)
