qstamp,tstamp,measure,beat,Piccolo,Flute 1,Flute 2,Oboe 1,Oboe 2,English Horn,A Clarinet 1,A Clarinet 2,A Bass Clarinet,Bassoon 1,Bassoon 2,Bass Sarrusophone,F Horn 1,F Horn 2,F Horn 3,F Horn 4,C Trumpet 1,C Trumpet 2,Trombone 1,Trombone 2,Trombone 3,Tuba,Cymbal,Tambourine,Triangle,Celesta,Harp,Violin,Violin 1,Violin 1 div(2),Violin 1 div(3),Violin 2,Violins,Viola,Violoncello,Contrabass,Piano
0.0,0.0,1,1.0,r,r,r,B5,r,r,B4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G#5,F#5,r,r,B5,r,r,A5,r,F#5,E4,r,B5
0.5,0.2083,1,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G#5,F#5,r,r,B5,r,r,A5,r,F#5,E4,r,B5
1.0,0.4167,1,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B5,r,r,A5,r,F#5,r,r,B5
1.5,0.625,1,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B5,r,r,A5,r,F#5,r,r,B5
2.0,0.8333,1,3.0,r,r,r,A5,r,r,A4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G#5,E5,r,r,A5,r,r,G5,r,E5,r,r,A5
2.5,1.0417,1,3.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G#5,E5,r,r,A5,r,r,G5,r,E5,r,r,A5
3.0,1.25,2,1.0,r,r,r,B5,r,r,B4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G#5,F#5,r,r,B5,r,r,A5,r,F#5,r,r,B5
3.5,1.4583,2,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G#5,F#5,r,r,B5,r,r,A5,r,F#5,r,r,B5
4.0,1.6667,2,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B5,r,r,A5,r,F#5,r,r,B5
4.5,1.875,2,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B5,r,r,A5,r,F#5,r,r,B5
