qstamp,measure,beat,measure_fraction,label,part,part_num,instrument
0.0,1,1.0,0.0,a,Cl 1,4,Cl
12.0,4,-11.0,0.0,a,Vla,15,Vla
16.0,5,1.0,0.0,a,Cl 1,4,Cl
28.0,8,-27.0,0.0,a,Vla,15,Vla
32.0,9,1.0,0.0,a,Cl 1,4,Cl
51.0,13,4.0,0.75,a,Ob 1,2,Ob
56.0,15,1.0,0.0,a,Cl 1,4,Cl
86.0,22,-81.0,0.5,a,Vla,15,Vla
92.0,24,1.0,0.0,b,Cl 1,4,Cl
107.0,27,4.0,0.75,b,Fl 1,0,Fl
115.0,29,4.0,0.75,b,Cl 1,4,Cl
119.0,30,4.0,0.75,b,Vln 1,13,Vln
127.0,32,4.0,0.75,c,Vc,16,Vc
131.0,33,4.0,0.75,c,Bsn 1,6,Bsn
135.0,34,4.0,0.75,c,Vc,16,Vc
139.0,35,4.0,0.75,c,Bsn 1,6,Bsn
143.0,36,4.0,0.75,c,Cb,17,Cb
159.0,40,4.0,0.75,d,Cl 1,4,Cl
179.0,45,4.0,0.75,d,Ob 1,2,Ob
188.0,48,1.0,0.0,d,Cl 1,4,Cl
199.0,50,4.0,0.75,e,Vln 1,13,Vln
207.0,52,4.0,0.75,e,Cl 1,4,Cl
215.0,54,4.0,0.75,e,Vln 1,13,Vln
219.0,55,4.0,0.75,e,Cl 1,4,Cl
246.0,62,3.0,0.5,f,Vln 1,13,Vln
280.0,71,1.0,0.0,f,Vln 1,13,Vln
319.0,80,4.0,0.75,f,Cl 1,4,Cl
323.0,81,4.0,0.75,f,Fl 1,0,Fl
327.0,82,4.0,0.75,f,Bsn 1,6,Bsn
335.0,84,4.0,0.75,a,Fl 1,0,Fl
359.0,90,4.0,0.75,a,Fl 1,0,Fl
364.0,92,1.0,0.0,a,Cl 1,4,Cl
376.0,95,1.0,0.0,a,Fl 1,0,Fl
387.0,97,4.0,0.75,a,Cl 1,4,Cl
392.0,99,1.0,0.0,a,Fl 1,0,Fl
412.0,104,1.0,0.0,a,Cl 1,4,Cl
422.0,106,3.0,0.5,a,Bsn 1,6,Bsn
428.0,108,1.0,0.0,g,Vln 1,13,Vln
456.0,115,1.0,0.0,h,Vln 1,13,Vln
461.0,116,2.0,0.25,h,Cl 1,4,Cl
471.0,118,4.0,0.75,h,Vln 1,13,Vln
473.0,119,2.0,0.25,h,Cl 1,4,Cl
482.0,121,3.0,0.5,h,Vln 1,13,Vln
484.0,122,1.0,0.0,a,Cl 1,4,Cl
509.0,128,2.0,0.25,a,Hn 1,8,Hn
513.0,129,2.0,0.25,a,Cl 1,4,Cl
521.0,131,2.0,0.25,i,Ob 1,2,Ob
528.0,133,1.0,0.0,i,Hn 1,8,Hn
