qstamp,tstamp,measure,beat,Flute 1,Flute 2,Oboe 1,Oboe 2,Bb Clarinet 1,Bb Clarinet 2,Bassoon 1,Bassoon 2,F Horn 1,F Horn 2,F Horn 3,F Horn 4,F Trumpet 1,F Trumpet 2,F Trumpet 3,Alto Trombone,Tenor Trombone,Bass Trombone,Bass Tuba,Timpani,Violin 1,Violin 2,Viola,Violoncello,Contrabass
0.0,0.0,1,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B-2,B-1
1.0,0.8571,1,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A2,A1
2.0,1.7143,1,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G2,G1
3.0,2.5714,1,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F2,F1
4.0,3.4286,2,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E2,E1
5.0,4.2857,2,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F2,F1
6.0,5.1429,2,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G2,G1
7.0,6.0,2,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A2,A1
8.0,6.8571,3,1.0,r,r,r,r,B-4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B-3,B-2,B-1
9.0,7.7143,3,1.5,r,r,r,r,B-3,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B-3,A2,A1
10.0,8.5714,3,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B-3,G2,G1
11.0,9.4286,3,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B-3,F2,F1
12.0,10.2857,4,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C4,B-3,E2,E1
13.0,11.1429,4,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C4,B-3,F2,F1
14.0,12.0,4,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C4,A3,G2,G1
15.0,12.8571,4,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C4,A3,A2,A1
16.0,13.7143,5,1.0,r,r,r,r,D5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F4,D4,A3,B-2,B-1
17.0,14.5714,5,1.5,r,r,r,r,D4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F4,D4,C4,A2,A1
18.0,15.4286,5,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F4,D4,B-3,G2,G1
19.0,16.2857,5,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F4,D4,A3,F2,F1
20.0,17.1429,6,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G4,D4,B-3,E2,E1
21.0,18.0,6,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G4,D4,B-3,F2,F1
22.0,18.8571,6,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G4,C#4,B-3,G2,G1
23.0,19.7143,6,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G4,C#4,A3,A2,A1
23.5,20.1429,6,2.75,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G4,C#4,G3,r,r
24.0,20.5714,7,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F4,D4,F3,B-2,B-1
25.0,21.4286,7,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F4,D4,F3,B2,B1
26.0,22.2857,7,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E-4,D4,E-3,C3,C2
27.0,23.1429,7,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E-4,D4,E-3,B-2,B-1
28.0,24.0,8,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E-4,C4,E-3,A2,A1
29.0,24.8571,8,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E-4,C4,E-3,F#2,F#1
29.5,25.2857,8,1.75,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E-4,C4,E-3,r,r
30.0,25.7143,8,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D4,C4,D3,G2,G1
31.0,26.5714,8,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D4,B-3,D3,G3,G2
32.0,27.4286,9,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D4,A3,F#3,D3,D2
33.0,28.2857,9,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D4,A3,F#3,D4,D3
43.0,36.8571,11,1.0,r,r,r,r,D5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
44.0,37.3656,11,1.5,r,r,r,r,D4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
46.0,38.3826,11,2.5,r,r,r,r,C#4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
46.75,38.7639,11,2.875,r,r,r,r,D4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
47.0,38.891,12,1.0,r,r,r,r,E-4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
48.0,39.3995,12,1.5,r,r,r,r,E-5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
51.0,40.9249,13,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D6,B-5,r,r,r
55.0,42.7711,14,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D6,B-5,r,r,r
59.0,44.6172,15,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D6,B-5,B-3,B-3,r
61.0,45.5403,15,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C#6,B-5,C#4,C#4,r
62.0,46.0019,15,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C#6,B-5,B-3,B-3,r
62.75,46.348,15,2.875,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C#6,B-5,G#3,G#3,r
63.0,46.4634,16,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C#6,B-5,F#3,F#3,r
66.0,47.848,16,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C#6,B-5,F3,F3,r
67.0,48.3096,17,1.0,r,r,r,r,r,r,r,r,r,r,r,r,C5,r,r,r,r,r,r,r,C6,B-5,E3,E3,r
68.0,48.7711,17,1.5,r,r,r,r,r,r,r,r,r,r,r,r,C4,r,r,r,r,r,r,r,C6,B-5,E3,E3,r
